,Unnamed: 0,clear_street,id,district
0,1517,город Москва улица Брусилова,1, район Южное Бутово
1,1651,город Москва улица Красных Зорь,1, Можайский район
2,1543,город Москва улица Высоцкого,1, Таганский район
3,1826,город Москва улица Советской Армии,1, Мещанский район
4,1474,город Москва улица Академика Павлова,1, район Кунцево
5,1643,город Москва улица Кошкина,1, район Москворечье-Сабурово
6,1555,город Москва улица Генерала Ермолова,1, район Дорогомилово
7,1838,город Москва улица Степана Шутова,1, район Люблино
8,1475,город Москва улица Академика Петровского,1, район Якиманка
9,1546,город Москва улица Гамалеи,1, район Щукино
10,1835,город Москва улица Старые Кузьминки,1, район Выхино-Жулебино
11,1431,город Москва проезд Черепановых,1, район Коптево
12,1670,город Москва улица Линии Октябрьской Железной Дороги,1, Тимирязевский район
13,1433,город Москва проезд Якушкина,1, район Отрадное
14,1477,город Москва улица Академика Понтрягина,1, район Южное Бутово
15,1434,город Москва проектируемый проезд № 1980,1, район Очаково-Матвеевское
16,1604,город Москва улица Знаменские Садки,1, район Северное Бутово
17,1857,город Москва улица Уткина,1, район Соколиная Гора
18,1892,город Московский улица Хабарова,1,
19,1424,город Москва проезд Нансена,1, район Свиблово
20,1905,улица Обручева дом 23,1, Обручевский район
21,1904,улица Миклухо-Маклая дом 18,1, район Коньково
22,1484,город Москва улица Алексея Дикого,1, район Новогиреево
23,1901,улица Каманина домовладение 11,1,
24,1900,улица Знаменка дом 14,1, район Арбат
25,1899,улица Земляной Вал дом 58/23,1, Таганский район
26,1898,проезд Добролюбова дом 2,1, Бутырский район
27,1897,поселение Сосенское деревня Столбово,1, квартал № 155
28,1896,поселение Михайлово-Ярцевское деревня Сенькино-Секерино,1, квартал № 28
29,1895,поселение Марушкинское деревня Давыдково,1, квартал № 65
30,1894,"поселение ""Мосрентген"" деревня Дудкино",1, квартал № 12
31,1893,город Троицк 42-й километр Калужского шоссе,1,
32,1889,город Москва шоссе Фрезер,1, Нижегородский район
33,1859,город Москва улица Фадеева,1, Тверской район
34,1657,город Москва улица Кубинка,1, Можайский район
35,1884,город Москва улица Щорса,1, район Солнцево
36,1527,город Москва улица Васильцовский Стан,1, Рязанский район
37,1880,город Москва улица Шумкина,1, район Сокольники
38,1879,город Москва улица Шумилова,1, район Кузьминки
39,1876,город Москва улица Шеногина,1, район Хорошёво-Мнёвники
40,1486,город Москва улица Анатолия Живова,1, Пресненский район
41,1662,город Москва улица Кухмистерова,1, район Печатники
42,1654,город Москва улица Крутицкий Вал,1, Южнопортовый район
43,1665,город Москва улица Лапина,1, район Лефортово
44,1489,город Москва улица Артюхиной,1, район Текстильщики
45,1478,город Москва улица Академика Семёнова,1, район Южное Бутово
46,1862,город Москва улица Фонвизина,1, Бутырский район
47,1669,город Москва улица Лефортовский Вал,1, район Лефортово
48,1803,город Москва улица Рокотова,1, район Ясенево
49,1814,город Москва улица Саляма Адиля,1, район Хорошёво-Мнёвники
50,1578,город Москва улица Демьяна Бедного,1, район Хорошёво-Мнёвники
51,1627,город Москва улица Клочкова,1, район Фили-Давыдково
52,1696,город Москва улица Маршала Мерецкова,1, район Щукино
53,1697,город Москва улица Маршала Новикова,1, район Щукино
54,1586,город Москва улица Достоевского,1, район Марьина Роща
55,1741,город Москва улица Новая Дорога,1, Басманный район
56,1505,город Москва улица Богородский Вал,1, район Преображенское
57,1504,город Москва улица Богданова,1, район Солнцево
58,1738,город Москва улица Николаева,1, Пресненский район
59,1503,город Москва улица Благуша,1, район Соколиная Гора
60,1588,город Москва улица Дубки,1, Тимирязевский район
61,1453,город Москва улица 9 Мая,1, район Восточный
62,1617,город Москва улица Капотня,1, 2-й квартал
63,1734,город Москва улица Немчинова,1, Тимирязевский район
64,1454,город Москва улица Авиаконструктора Микояна,1, Хорошёвский район
65,1733,город Москва улица Недорубова,1, район Некрасовка
66,1593,город Москва улица Екатерины Будановой,1, район Кунцево
67,1462,город Москва улица Академика Арцимовича,1, район Коньково
68,1595,город Москва улица Жебрунова,1, район Сокольники
69,1722,город Москва улица Можайский Вал,1, район Дорогомилово
70,1596,город Москва улица Жуковского,1, Басманный район
71,1598,город Москва улица Захарьинские Дворики,1, район Южное Бутово
72,1613,город Москва улица Инессы Арманд,1, район Ясенево
73,1713,город Москва улица Медиков,1, район Царицыно
74,1712,город Москва улица Медведева,1, район Косино-Ухтомский
75,1602,город Москва улица Зенитчиков,1, район Митино
76,1753,город Москва улица Павла Андреева,1, район Замоскворечье
77,1758,город Москва улица Паперника,1, Рязанский район
78,1812,город Москва улица Сайкина,1, Даниловский район
79,1576,город Москва улица Девятая Рота,1, район Преображенское
80,1810,город Москва улица Савельева,1, район Хамовники
81,1473,город Москва улица Академика Опарина,1, район Коньково
82,1436,город Москва проспект 40 лет Октября,1, район Люблино
83,1514,город Москва улица Бориса Жигулёнкова,1, район Соколиная Гора
84,1807,город Москва улица Рудневой,1, Бабушкинский район
85,1806,город Москва улица Ротерта,1, Ярославский район
86,1804,город Москва улица Рословка,1, район Митино
87,1460,город Москва улица Айвазовского,1, район Ясенево
88,1676,город Москва улица Льва Яшина,1, район Некрасовка
89,1800,город Москва улица Рогожский Посёлок,1, Нижегородский район
90,1798,город Москва улица Рогова,1, район Щукино
91,1795,город Москва улица Ремизова,1, район Котловка
92,1794,город Москва улица Ращупкина,1, Можайский район
93,1565,город Москва улица Гончарова,1, Бутырский район
94,1634,город Москва улица Константинова,1, Алексеевский район
95,1790,город Москва улица Раевского,1, район Дорогомилово
96,1680,город Москва улица Максимова,1, район Щукино
97,1683,город Москва улица Малая Ордынка,1, район Замоскворечье
98,1783,город Москва улица Пржевальского,1, район Очаково-Матвеевское
99,1777,город Москва улица Полины Осипенко,1, Хорошёвский район
100,1687,город Москва улица Малые Каменщики,1, Таганский район
101,1771,город Москва улица Подвойского,1, Пресненский район
102,1470,город Москва улица Академика Комарова,1, район Марфино
103,1491,город Москва улица Атарбекова,1, район Преображенское
104,1766,город Москва улица Пивченкова,1, район Фили-Давыдково
105,1660,город Москва улица Кутузова,1, Можайский район
106,0,1-й Нагатинский проезд дом 10,1, район Нагатино-Садовники
107,1421,город Москва проезд Досфлота,1, район Южное Тушино
108,205,город Москва 3-й Угрешский проезд,1, район Печатники
109,266,город Москва 7-я Северная линия,1, район Северный
110,267,город Москва 7-я улица Лазенки,1, район Ново-Переделкино
111,271,город Москва 78-й километр Московской Кольцевой Автодороги,1,
112,272,город Москва 8-й проезд Марьиной Рощи,1, район Марьина Роща
113,273,город Москва 8-я улица Соколиной Горы,1, район Соколиная Гора
114,275,город Москва 80-й километр Московской Кольцевой Автодороги,1,
115,286,город Москва Авиационный переулок,1, район Аэропорт
116,288,город Москва Автомобильный проезд,1, Нижегородский район
117,294,город Москва Алымов переулок,1, район Богородское
118,300,город Москва Андреево-Забелинская улица,1, район Богородское
119,301,город Москва Андроньевская площадь,1, Таганский район
120,302,город Москва Анненская улица,1, район Марьина Роща
121,303,город Москва Анненский проезд,1, район Марьина Роща
122,305,город Москва Армавирская улица,1, район Люблино
123,308,город Москва Архангельский переулок,1, Басманный район
124,309,город Москва Астрадамский проезд,1, Тимирязевский район
125,311,город Москва Ащеулов переулок,1, Красносельский район
126,313,город Москва Аэрофлотская улица,1, район Внуково
127,314,город Москва Бабаевская улица,1, район Сокольники
128,316,город Москва Базовая улица,1, район Внуково
129,322,город Москва Балтийская улица,1, район Аэропорт
130,323,город Москва Банный проезд,1, Мещанский район
131,324,город Москва Барабанный переулок,1, район Соколиная Гора
132,327,город Москва Басовская улица,1, Нижегородский район
133,339,город Москва Берниковская набережная,1, Таганский район
134,345,город Москва Бескудниковский переулок,1, Бескудниковский район
135,346,город Москва Бескудниковский проезд,1, Бескудниковский район
136,263,город Москва 7-й Ростовский переулок,1, район Хамовники
137,262,город Москва 67-й километр Московской Кольцевой Автодороги,1,
